ENG20-00208807-v	wngre:synset-βρέχω-verb-0
ENG20-01821183-v	wngre:synset-ανακινούμαι-verb-0
ENG20-01821194-n	wngre:synset-προστατευτικό_κάλυμμα-noun-0
ENG20-01821372-n	wngre:synset-θωράκιση-noun-0
ENG20-01821499-n	wngre:synset-λέπι-noun-0
ENG20-01821678-n	wngre:synset-λέπια_ψαριού-noun-0
ENG20-01821802-n	wngre:synset-φολίδα-noun-0
ENG20-01821881-v	wngre:synset-κουνιέμαι-verb-0
ENG20-01822164-v	wngre:synset-γέρνω-verb-0
ENG20-01822278-n	wngre:synset-κέλυφος-noun-0
ENG20-01822287-v	wngre:synset-παραπαίω-verb-0
ENG20-01822383-v	wngre:synset-πηγαινοέρχομαι-verb-0
ENG20-01822588-v	wngre:synset-λικνίζω-verb-0
ENG20-01822677-n	wngre:synset-κέλυφος-noun-0
ENG20-01823011-n	wngre:synset-όστρακο_με_χτένι-noun-0
ENG20-01823091-n	wngre:synset-κέλυφος_στρειδιού-noun-0
ENG20-01823209-v	wngre:synset-λικνίζομαι-verb-0
ENG20-01823738-n	wngre:synset-κοιλότητα_κοιλεντέρου-noun-0
ENG20-01823856-n	wngre:synset-ασπόνδυλο-noun-1
ENG20-01824523-n	wngre:synset-υποβασίλειο__Parazoa-noun-0
ENG20-01824558-v	wngre:synset-τρεμοπαίζω-verb-0
ENG20-01824747-n	wngre:synset-Porifera-noun-0
ENG20-01824944-n	wngre:synset-σπόγγος_φύλλου_porifera-noun-0
ENG20-01825090-v	wngre:synset-λικνίζομαι-verb-0
ENG20-01825326-n	wngre:synset-κύτταρο_σε_σχήμα_μαστιγίου-noun-0
ENG20-01825418-v	wngre:synset-πάλλω-verb-0
ENG20-01825767-v	wngre:synset-έχω_ταχυπαλμία-verb-0
ENG20-01825934-v	wngre:synset-πάλλομαι-verb-0
ENG20-01826211-v	wngre:synset-καταχερίζω-verb-0
ENG20-01826494-v	wngre:synset-κρούω-verb-0
ENG20-01826709-v	wngre:synset-φτεροκοπώ-verb-0
ENG20-01826869-n	wngre:synset-μετάζωα-noun-0
ENG20-01827001-v	wngre:synset-περιπλανώμαι-verb-0
ENG20-01827277-n	wngre:synset-κατηγορία_κοιλεντέρων-noun-0
ENG20-01827430-a	wngre:synset-περήφανος-adjective-0
ENG20-01827588-n	wngre:synset-κοιλέντερο-noun-0
ENG20-01827902-v	wngre:synset-περιφέρομαι_ασκόπως-verb-0
ENG20-01827991-v	wngre:synset-παίρνω_αέρα-verb-0
ENG20-01828072-n	wngre:synset-πολύποδας-noun-0
ENG20-01828308-n	wngre:synset-μέδουσα-noun-0
ENG20-01828510-v	wngre:synset-βολτάρω-verb-0
ENG20-01828547-n	wngre:synset-τάξη_Scyphozoa-noun-0
ENG20-01828635-v	wngre:synset-ελίσσομαι-verb-0
ENG20-01828765-n	wngre:synset-μέδουσα-noun-0
ENG20-01829100-n	wngre:synset-τάξη_κοιλεντέρων_scyphozoan-noun-0
ENG20-01829548-n	wngre:synset-ταξινόμηση_Hydrozoa-noun-0
ENG20-01829876-n	wngre:synset-υδρόζωα-noun-0
ENG20-01830069-v	wngre:synset-σφυρηλατώ-verb-0
ENG20-01831108-a	wngre:synset-ταπεινόφρων-adjective-0
ENG20-01831383-v	wngre:synset-ανεμίζω-verb-0
ENG20-01831617-v	wngre:synset-έρπω-verb-0
ENG20-01832000-v	wngre:synset-έρπομαι-verb-0
ENG20-01832168-n	wngre:synset-ανθόζωα-noun-0
ENG20-01832260-v	wngre:synset-γλιστράω-verb-0
ENG20-01832500-v	wngre:synset-κυλώ-verb-0
ENG20-01832792-v	wngre:synset-τσουλώ-verb-0
ENG20-01833096-v	wngre:synset-κυλώ-verb-0
ENG20-01833226-v	wngre:synset-γυρνάω-verb-0
ENG20-01833348-v	wngre:synset-γλιστράω-verb-0
ENG20-01833901-v	wngre:synset-προχωρώ_οφιδοειδώς-verb-0
ENG20-01834031-v	wngre:synset-γλιστρώ-verb-0
ENG20-01834247-v	wngre:synset-τρέμω-verb-0
ENG20-01834520-v	wngre:synset-ριγώ-verb-0
ENG20-01834682-v	wngre:synset-αναρριγώ-verb-0
ENG20-01834865-v	wngre:synset-δονώ-verb-0
ENG20-01835110-v	wngre:synset-πάλλομαι-verb-0
ENG20-01835310-v	wngre:synset-ανακινώ-verb-0
ENG20-01599265-v	wngre:synset-κάνω-verb-0
ENG20-01599490-v	wngre:synset-εξαναγκάζω-verb-0
ENG20-01600394-v	wngre:synset-κάνω-verb-9
ENG20-01600708-v	wngre:synset-επισκευάζω-verb-1
ENG20-01601819-v	wngre:synset-ανασκουμπώνομαι-verb-1
ENG20-01602159-v	wngre:synset-γεννώ-verb-0
ENG20-01603134-v	wngre:synset-βάζω-verb-5
ENG20-01603709-v	wngre:synset-αποδύομαι-verb-0
ENG20-01605202-v	wngre:synset-φέρω-verb-0
ENG20-01605958-v	wngre:synset-καρπίζω-verb-1
ENG20-01606076-v	wngre:synset-δημιουργώ_από_πρώτες_ύλες-verb-1
ENG20-01606505-v	wngre:synset-δημιουργώ-verb-0
ENG20-01606879-v	wngre:synset-κατασκευάζω-verb-0
ENG20-01607277-v	wngre:synset-πλαστογραφώ-verb-0
ENG20-01607634-v	wngre:synset-χτίζω-verb-1
ENG20-01609650-v	wngre:synset-μοντάρω-verb-0
ENG20-01610787-v	wngre:synset-αποσυναρμολογώ-verb-0
ENG20-01612040-v	wngre:synset-μορφοποιώ-verb-1
ENG20-01614001-v	wngre:synset-ανεγείρω-verb-0
ENG20-01614540-n	wngre:synset-Chamaeleonidae-noun-0
ENG20-01614562-v	wngre:synset-γκρεμίζω-verb-0
ENG20-01614858-n	wngre:synset-χαμαιλέοντας-noun-0
ENG20-01615496-v	wngre:synset-καλουπώνω-verb-0
ENG20-01616334-n	wngre:synset-Archosauria-noun-0
ENG20-01616756-n	wngre:synset-ερπετό_archosaur-noun-0
ENG20-01616879-v	wngre:synset-κάνω-verb-25
ENG20-01617321-n	wngre:synset-Crocodilia-noun-0
ENG20-01617672-n	wngre:synset-κροκοδειλοειδή-noun-0
ENG20-01617782-v	wngre:synset-πιπερώνω-verb-1
ENG20-01617888-n	wngre:synset-Crocodylidae-noun-0
ENG20-01618041-n	wngre:synset-Crocodilus-noun-0
ENG20-01618217-n	wngre:synset-κροκόδειλος-noun-1
ENG20-01618496-n	wngre:synset-Αφρικανικός_κροκόδειλος-noun-1
ENG20-01618650-n	wngre:synset-Ασιατικός_κροκόδειλος-noun-1
ENG20-01618788-n	wngre:synset-κροκόδειλος_Morlett-noun-1
ENG20-01619183-n	wngre:synset-Alligatoridae-noun-0
ENG20-01619342-n	wngre:synset-γένος_Alligator-noun-0
ENG20-01619473-n	wngre:synset-αλιγάτορας-noun-0
ENG20-01619980-n	wngre:synset-γένος_Caiman-noun-0
ENG20-01620084-n	wngre:synset-καϊμάν-noun-0
ENG20-01620678-v	wngre:synset-εικονογραφώ-verb-1
ENG20-01620837-v	wngre:synset-επεξεργάζομαι-verb-0
ENG20-01620858-n	wngre:synset-δεινόσαυρος-noun-0
ENG20-01623768-a	wngre:synset-κοινός-adjective-0
ENG20-01625862-v	wngre:synset-πλέκω-verb-0
ENG20-01627198-v	wngre:synset-χαλκεύω-verb-0
ENG20-01627899-v	wngre:synset-καλλωπίζω-verb-0
ENG20-01629625-v	wngre:synset-αναρτώ-verb-0
ENG20-01631578-v	wngre:synset-γαρνίρω-verb-1
ENG20-01635172-v	wngre:synset-τοιχογραφώ-verb-1
ENG20-01635694-a	wngre:synset-πρωτότυπος-adjective-2
ENG20-01636386-a	wngre:synset-καινούριος-adjective-0
ENG20-01636563-v	wngre:synset-ζωγραφίζω-verb-1
ENG20-01636799-v	wngre:synset-ζωγραφίζω-verb-2
ENG20-01637213-v	wngre:synset-δραστηριοποιούμαι-verb-0
ENG20-01637250-a	wngre:synset-κοινότοπος-adjective-0
ENG20-01637465-v	wngre:synset-οικοδομώ-verb-0
ENG20-01637661-v	wngre:synset-επιδιορθώνω-verb-0
ENG20-01637996-v	wngre:synset-αναπαριστώ-verb-0
ENG20-01638692-a	wngre:synset-ορθόδοξος-adjective-1
ENG20-01639614-a	wngre:synset-ανορθόδοξος-adjective-0
ENG20-01639988-a	wngre:synset-αιρετικός-adjective-1
ENG20-01640084-v	wngre:synset-προσωπογραφώ-verb-0
ENG20-01642108-v	wngre:synset-αποδίδω-verb-0
ENG20-01642630-v	wngre:synset-συντάσσω-verb-0
ENG20-01642871-v	wngre:synset-αποτυπώνω-verb-0
ENG20-01645467-v	wngre:synset-αντιγράφω-verb-0
ENG20-01647372-n	wngre:synset-υποτάξη_Ophidia-noun-0
ENG20-01647674-n	wngre:synset-φίδι-noun-0
ENG20-01648215-v	wngre:synset-βάφω-verb-1
ENG20-01648594-v	wngre:synset-διαπλάθω-verb-0
ENG20-01649365-v	wngre:synset--verb-
ENG20-01649807-v	wngre:synset-κάνω-verb-26
ENG20-01650882-v	wngre:synset-περιγράφω-verb-2
ENG20-01651432-v	wngre:synset-ορθογραφώ-verb-0
ENG20-01656463-v	wngre:synset-αναφέρω-verb-3
ENG20-01656700-v	wngre:synset-συνθέτω-verb-1
ENG20-01659897-v	wngre:synset-χορεύω-verb-1
ENG20-01662504-n	wngre:synset-βόας_constrictor-noun-0
ENG20-01662504-v	wngre:synset-παρουσιάζω-verb-8
ENG20-01662686-n	wngre:synset-οικογένεια__Boidae-noun-0
ENG20-01662808-v	wngre:synset-τραβάω-verb-1
ENG20-01662885-n	wngre:synset-βόας-noun-0
ENG20-01663763-v	wngre:synset-εκτελώ-verb-2
ENG20-01663909-n	wngre:synset-γένος__Eunectes-noun-0
ENG20-01664028-n	wngre:synset-ανακόντα-noun-0
ENG20-01664165-n	wngre:synset-υποοικογένεια_Pythoninae-noun-0
ENG20-01664547-n	wngre:synset-πίθωνας-noun-0
ENG20-01665285-v	wngre:synset-δίνω_παράσταση-verb-0
ENG20-01665584-n	wngre:synset-οικογένεια_Elapidae-noun-0
ENG20-01666052-n	wngre:synset-φίδι_οικογένειας_elapidae-noun-0
ENG20-01666262-v	wngre:synset--verb-
ENG20-01667696-v	wngre:synset-παίζω-verb-0
ENG20-01667959-v	wngre:synset-παίζομαι-verb-0
ENG20-01668812-n	wngre:synset-κόμπρα-noun-0
ENG20-01670298-v	wngre:synset-παίζω-verb-5
ENG20-01670899-v	wngre:synset-παίζω-verb-0
ENG20-01672516-v	wngre:synset-καμώνομαι-verb-0
ENG20-01672714-v	wngre:synset-κάνω-verb-15
ENG20-01672716-n	wngre:synset-οικογένεια_Viperidae-noun-0
ENG20-01672902-n	wngre:synset-έχιδνα-noun-0
ENG20-01673037-v	wngre:synset-παίζω-verb-0
ENG20-01673259-v	wngre:synset-προσποιούμαι-verb-1
ENG20-01673799-a	wngre:synset-παρελθών-adjective-0
ENG20-01674148-v	wngre:synset-κάνω_πρόβα-verb-0
ENG20-01674487-a	wngre:synset-αρχαίος-adjective-3
ENG20-01674614-v	wngre:synset-παίζωλαϊκ_-verb-0
ENG20-01675383-v	wngre:synset-παίζω-verb-0
ENG20-01675975-v	wngre:synset-παίζω-verb-1
ENG20-01677078-v	wngre:synset-παίζω-verb-0
ENG20-01677086-a	wngre:synset-τρέχων-adjective-0
ENG20-01677785-v	wngre:synset-κτυπώ-verb-0
ENG20-01677933-a	wngre:synset-μελλοντικός-adjective-0
ENG20-01679035-n	wngre:synset-ράμφος_πουλιού-noun-0
ENG20-01679576-n	wngre:synset-οικογένεια_αρθροπόδων-noun-0
ENG20-01679746-v	wngre:synset-αυτοσχεδιάζω-verb-0
ENG20-01680326-v	wngre:synset-τραγουδώ-verb-1
ENG20-01682919-n	wngre:synset-γένος_αρθρόποδων-noun-0
ENG20-01684337-v	wngre:synset-δίνω-verb-11
ENG20-01686480-a	wngre:synset-εθνικιστικός-adjective-1
ENG20-01687593-n	wngre:synset-Αρθρόποδα-noun-0
ENG20-01687654-v	wngre:synset-αναπαράγω-verb-0
ENG20-01688019-n	wngre:synset-αρθρόποδο-noun-1
ENG20-01688743-n	wngre:synset-υπερτάξη_Chelicerata-noun-0
ENG20-01689274-n	wngre:synset-κλάση_Arachnida-noun-0
ENG20-01689375-a	wngre:synset-βίαιος-adjective-1
ENG20-01689428-v	wngre:synset-αναπτύσσω-verb-2
ENG20-01689634-n	wngre:synset-αραχνοειδές-noun-0
ENG20-01690533-n	wngre:synset-τάξη_Scorpionida-noun-0
ENG20-01690645-v	wngre:synset-παράγω-verb-0
ENG20-01690663-n	wngre:synset-σκορπιός-noun-0
ENG20-01690821-n	wngre:synset-γένος_Pseudoscorpionida-noun-0
ENG20-01691063-n	wngre:synset-αραχνίδιο_τάξης_pseudoscorpione-noun-0
ENG20-01691439-v	wngre:synset-καλλιεργώ-verb-0
ENG20-01692226-n	wngre:synset-τάξη__Araneae-noun-0
ENG20-01692277-v	wngre:synset-καλλιεργώ-verb-0
ENG20-01692464-n	wngre:synset-αράχνη-noun-0
ENG20-01692695-v	wngre:synset-οργώνω-verb-0
ENG20-01693471-a	wngre:synset-αντιληπτός-adjective-1
ENG20-01693557-v	wngre:synset-καλλιεργώ-verb-0
ENG20-01693699-v	wngre:synset-αντιγράφω-verb-0
ENG20-01694888-a	wngre:synset-τέλειος-adjective-1
ENG20-01695424-v	wngre:synset-δημοσιεύω-verb-0
ENG20-01695836-a	wngre:synset-ολοκληρωμένος-adjective-1
ENG20-01695885-n	wngre:synset-τάξη__Acarina-noun-0
ENG20-01696198-n	wngre:synset-ψείρα-noun-0
ENG20-01696319-n	wngre:synset-οικογένεια_ixodoide-noun-0
ENG20-01696482-v	wngre:synset-ανακοινώνω-verb-0
ENG20-01697491-a	wngre:synset-ατελής-adjective-0
ENG20-01698134-v	wngre:synset-αντιγράφω-verb-0
ENG20-01703330-v	wngre:synset-γεννώ-verb-0
ENG20-01703701-v	wngre:synset-γίνομαι-verb-2
ENG20-01704982-v	wngre:synset-ετοιμάζω-verb-0
ENG20-01706197-v	wngre:synset-ανάβω_φωτιά-verb-0
ENG20-01707719-a	wngre:synset-δικτατορικός-adjective-1
ENG20-01708117-n	wngre:synset-Pentastomida-noun-0
ENG20-01708451-n	wngre:synset-τάξη_Galliformes-noun-0
ENG20-01708538-v	wngre:synset-παρακινώ-verb-0
ENG20-01708773-n	wngre:synset-ορνιθοειδές_πτηνό-noun-0
ENG20-01709127-n	wngre:synset-οικόσιτο_πτηνό-noun-0
ENG20-01709319-v	wngre:synset-προκαλώ-verb-3
ENG20-01709476-v	wngre:synset-αποσπώ-verb-0
ENG20-01710297-n	wngre:synset-γένος__Gallus-noun-0
ENG20-01710864-v	wngre:synset-ενθουσιάζω-verb-1
ENG20-01710979-n	wngre:synset-κότα-noun-0
ENG20-01711364-a	wngre:synset-προσωπικός-adjective-0
ENG20-01711406-n	wngre:synset-κοτόπουλο-noun-0
ENG20-01711441-v	wngre:synset-προκαλώ-verb-6
ENG20-01711522-n	wngre:synset-κόκορας-noun-1
ENG20-01711638-n	wngre:synset-λειρί-noun-0
ENG20-01711686-v	wngre:synset-εξεγείρω-verb-1
ENG20-01153161-n	wngre:synset-συμπεριφορά-noun-2
ENG20-01153341-v	wngre:synset-νηστεύω-verb-0
ENG20-01153376-n	wngre:synset-συμπεριφορά-noun-3
ENG20-01153560-v	wngre:synset-κάνω_κράτει_σε_κάτι-verb-0
ENG20-01153715-n	wngre:synset-επιθετική_συμπεριφορά-noun-0
ENG20-01153894-n	wngre:synset-ενόχληση-noun-0
ENG20-01153996-v	wngre:synset-μεθοκοπώ-verb-0
ENG20-01154454-a	wngre:synset-οργανικός-adjective-1
ENG20-01154559-v	wngre:synset-κρασοπίνω-verb-0
ENG20-01154932-n	wngre:synset-λοιδορία-noun-0
ENG20-01155330-n	wngre:synset-απαγόρευση-noun-0
ENG20-01155991-n	wngre:synset-αγένεια-noun-0
ENG20-01156182-v	wngre:synset-αποκομίζω-verb-0
ENG20-01156300-v	wngre:synset-αντεπεξέρχομαι-verb-0
ENG20-01156306-n	wngre:synset-γελοιοποίηση-noun-0
ENG20-01156599-n	wngre:synset-αγένεια-noun-0
ENG20-01156685-n	wngre:synset-αναίδεια-noun-0
ENG20-01156771-v	wngre:synset-χοντραίνω-verb-1
ENG20-01156780-n	wngre:synset-λοιδωρία-noun-0
ENG20-01157041-n	wngre:synset-ταπείνωση-noun-0
ENG20-01157139-n	wngre:synset-σκάνδαλο-noun-0
ENG20-01157304-n	wngre:synset-αναίδεια-noun-0
ENG20-01157356-v	wngre:synset-φουσκώνω-verb-1
ENG20-01157507-n	wngre:synset-θίξιμο-noun-0
ENG20-01157721-n	wngre:synset-περιφρόνηση-noun-0
ENG20-01158470-a	wngre:synset-ετεροφυλόφιλος-adjective-0
ENG20-01158573-v	wngre:synset-παχαίνω_χοντραίνω-verb-0
ENG20-01158720-a	wngre:synset-ομοφυλόφιλος-adjective-0
ENG20-01158811-n	wngre:synset-έλεος-noun-0
ENG20-01158934-v	wngre:synset-δοκιμάζω-verb-2
ENG20-01159224-n	wngre:synset-ευγένεια-noun-0
ENG20-01159439-v	wngre:synset-διασπαθίζω_κατασπαταλώ-verb-0
ENG20-01159672-v	wngre:synset-απέχω-verb-0
ENG20-01159911-a	wngre:synset-αμφισεξουαλικός-adjective-0
ENG20-01159980-v	wngre:synset-απέχω-verb-0
ENG20-01160856-n	wngre:synset-θεώρηση-noun-2
ENG20-01160983-n	wngre:synset-συνάθροιση-noun-0
ENG20-01161073-a	wngre:synset-υψηλός-adjective-0
ENG20-01161328-n	wngre:synset-επιστράτευση-noun-0
ENG20-01161664-v	wngre:synset-ρουφώ-verb-0
ENG20-01161785-v	wngre:synset-καπνίζω-verb-1
ENG20-01161895-n	wngre:synset-σύγκληση-noun-0
ENG20-01161918-a	wngre:synset-μεγάλος-adjective-16
ENG20-01162010-n	wngre:synset-συγκέντρωση-noun-0
ENG20-01162300-v	wngre:synset-βγάζω_αλλεπάλληλες_τολύπες_καπνού-verb-1
ENG20-01162463-v	wngre:synset-εισπνέω-verb-1
ENG20-01162593-n	wngre:synset-ραντεβού-noun-0
ENG20-01162731-n	wngre:synset-εκκλησίασμα-noun-0
ENG20-01162849-a	wngre:synset-χαμηλός-adjective-0
ENG20-01162864-n	wngre:synset-συνέδριο-noun-0
ENG20-01163025-n	wngre:synset-συγκέντρωση-noun-0
ENG20-01163136-n	wngre:synset-συνεδρίαση-noun-0
ENG20-01163291-n	wngre:synset-περίοδος_μαθήματος-noun-0
ENG20-01163987-n	wngre:synset-επίσκεψη-noun-0
ENG20-01164162-v	wngre:synset-παίρνω_ναρκωτικά-verb-0
ENG20-01164246-n	wngre:synset-παράσταση-noun-0
ENG20-01164458-n	wngre:synset-παράσταση-noun-0
ENG20-01164633-n	wngre:synset-παρουσία-noun-0
ENG20-01164648-v	wngre:synset-μασάω-verb-2
ENG20-01164903-n	wngre:synset-απουσία-noun-3
ENG20-01165158-n	wngre:synset-απουσία-noun-2
ENG20-01165217-v	wngre:synset-μασάω-verb-1
ENG20-01165380-v	wngre:synset-καταπίνω-verb-1
ENG20-01165506-n	wngre:synset-ανταπόδοση-noun-2
ENG20-01165898-v	wngre:synset-κατεβάζω_μονορούφι-verb-0
ENG20-01166025-n	wngre:synset-εκδίκηση-noun-1
ENG20-01166252-v	wngre:synset-ζω-verb-10
ENG20-01166932-a	wngre:synset-υψηλός-adjective-0
ENG20-01167509-v	wngre:synset-καταπραΰνω-verb-0
ENG20-01167740-n	wngre:synset-εκδημοκρατισμός-noun-0
ENG20-01167861-n	wngre:synset-ενοποίηση-noun-0
ENG20-01168033-v	wngre:synset-βγάζω_για_βοσκή-verb-1
ENG20-01168255-v	wngre:synset-ζω_μέσα_στην_πολυτέλεια-verb-0
ENG20-01168587-v	wngre:synset-αντέχω_το_ποτό-verb-0
ENG20-01168903-a	wngre:synset-χαμηλός-adjective-0
ENG20-01169130-v	wngre:synset-γειτονεύω-verb-1
ENG20-01169492-n	wngre:synset-συμμετοχή-noun-1
ENG20-01169634-v	wngre:synset-αγγίζω-verb-0
ENG20-01169915-n	wngre:synset-αποχή-noun-0
ENG20-01170291-n	wngre:synset-δέσμευση-noun-0
ENG20-01170633-n	wngre:synset-παρέμβαση-noun-0
ENG20-01170809-n	wngre:synset-μεσολάβηση-noun-0
ENG20-01171349-v	wngre:synset-καλύπτω_σκεπάζω_επικαλύπτω-verb-0
ENG20-01172321-n	wngre:synset-εργατική_κινητοποίηση-noun-0
ENG20-01172515-v	wngre:synset-κτυπώ_χτυπώ-verb-0
ENG20-01172873-n	wngre:synset-παθητική_αντίσταση-noun-0
ENG20-01173058-v	wngre:synset-αγγίζω-verb-2
ENG20-01173083-n	wngre:synset-απεργία_πείνας-noun-0
ENG20-01173333-v	wngre:synset-πασπατεύω-verb-0
ENG20-01173532-v	wngre:synset-αγγίζω-verb-0
ENG20-01173732-v	wngre:synset-ψηλαφίζω-verb-0
ENG20-01173759-n	wngre:synset-απεργία-noun-1
ENG20-01173984-v	wngre:synset-χειρίζομαι-verb-0
ENG20-01174212-n	wngre:synset-απεργία_συμπαράστασης-noun-1
ENG20-01174946-v	wngre:synset-χειρίζομαι-verb-0
ENG20-01175366-n	wngre:synset-γενοκτονία-noun-0
ENG20-01175477-v	wngre:synset-διαπερνώ-verb-0
ENG20-01175524-n	wngre:synset-ολοκαύτωμα-noun-0
ENG20-01175818-v	wngre:synset-κρατώ_σφικτά-verb-1
ENG20-01176551-n	wngre:synset-αιφνιδιαστική_επίθεση-noun-0
ENG20-01176859-v	wngre:synset-αρπάζω-verb-2
ENG20-01176935-n	wngre:synset-ενέδρα-noun-0
ENG20-01177510-v	wngre:synset-παίρνω-verb-1
ENG20-01178066-n	wngre:synset-ανοησία-noun-0
ENG20-01178262-v	wngre:synset-θρυμματίζω-verb-0
ENG20-01178382-v	wngre:synset-πιάνω-verb-0
ENG20-01178666-v	wngre:synset-πιάνω-verb-0
ENG20-01179189-n	wngre:synset-αμνηστία-noun-0
ENG20-01179249-v	wngre:synset-σφίγγω-verb-2
ENG20-01179612-v	wngre:synset-σφίγγω-verb-3
ENG20-01179760-v	wngre:synset-βαστώ-verb-1
ENG20-01179993-n	wngre:synset-τροποποίηση-noun-0
ENG20-01183957-v	wngre:synset-κολλώ-verb-0
ENG20-01185328-v	wngre:synset-αρπάζω-verb-1
ENG20-01185485-v	wngre:synset-ξεγαντζώνω-verb-0
ENG20-01185645-v	wngre:synset-αναποδογυρίζω-verb-0
ENG20-01186160-v	wngre:synset-συστρέφω-verb-0
ENG20-01186486-v	wngre:synset-ομαλοποιώ-verb-0
ENG20-01186594-v	wngre:synset-κατσαρώνω-verb-0
ENG20-01186597-n	wngre:synset-αρχηγία-noun-0
ENG20-01186979-v	wngre:synset-αρπάζω-verb-0
ENG20-01187393-v	wngre:synset-μετέρχομαι-verb-0
ENG20-01187658-v	wngre:synset-λειτουργώ-verb-0
ENG20-01188360-n	wngre:synset-αστυνομική_επιτήρηση-noun-0
ENG20-01188723-v	wngre:synset-θωπεύω-verb-0
ENG20-01188978-v	wngre:synset-χαϊδεύω-verb-0
ENG20-01189550-n	wngre:synset-αφύπνιση-noun-1
ENG20-01190333-n	wngre:synset-πλάκα-noun-0
ENG20-01190419-v	wngre:synset-διαπερνώ-verb-0
ENG20-01192080-a	wngre:synset-στητός-adjective-0
ENG20-01192555-v	wngre:synset-βυθίζω-verb-0
ENG20-01192947-v	wngre:synset-μαχαιρώνω-verb-0
ENG20-01193283-n	wngre:synset-κατάταξη-noun-0
ENG20-01193622-n	wngre:synset-αναφορά-noun-4
ENG20-01193889-a	wngre:synset-ξαπλωμένος-adjective-0
ENG20-01194037-n	wngre:synset-διέξοδος-noun-1
ENG20-01194148-v	wngre:synset-μαχαιρώνω-verb-1
ENG20-01195446-v	wngre:synset-κτυπώ-verb-0
ENG20-01195460-a	wngre:synset-απλωτός-adjective-1
ENG20-01195806-v	wngre:synset-επικαλύπτω-verb-0
ENG20-01196430-v	wngre:synset-σκεπάζω-verb-1
ENG20-01197062-v	wngre:synset-ενταφιάζω-verb-1
ENG20-01197792-v	wngre:synset-ζυμώνω-verb-0
ENG20-01198410-v	wngre:synset-ευστοχώ-verb-0
ENG20-01200111-v	wngre:synset-αστοχώ-verb-0
ENG20-01201066-n	wngre:synset-μάχη_του_Μπλένχαϊμ-noun-0
ENG20-01201117-v	wngre:synset-σπρώχνω_με_τους_ώμους-verb-0
ENG20-01201829-v	wngre:synset-συγκρούομαι-verb-0
ENG20-01202930-v	wngre:synset-αγγίζω-verb-0
ENG20-01203020-n	wngre:synset-Κάννες-noun-0
ENG20-01203484-a	wngre:synset-καυτός-adjective-0
ENG20-01203582-v	wngre:synset-εξοπλίζω_με_σπιρούνια-verb-0
ENG20-01204084-v	wngre:synset-ωθώ-verb-0
ENG20-01205035-v	wngre:synset-βαρώ-verb-0
ENG20-01205351-v	wngre:synset-σύρω-verb-0
ENG20-01206170-v	wngre:synset-βουρτσίζω-verb-0
ENG20-01206997-v	wngre:synset-ψάχνω-verb-2
ENG20-01207406-a	wngre:synset-κρύος-adjective-0
ENG20-01207790-n	wngre:synset-Φοντενουά-noun-0
ENG20-01207942-v	wngre:synset-γυαλίζω-verb-0
ENG20-01208759-v	wngre:synset-αμβλύνω-verb-0
ENG20-01208916-v	wngre:synset-ακονίζω-verb-1
ENG20-00983009-v	wngre:synset-παραθέτω-verb-0
ENG20-00983395-n	wngre:synset-ειδωλοποίηση-noun-0
ENG20-00983553-n	wngre:synset-λατρεία-noun-0
ENG20-00983644-n	wngre:synset-ειδωλολατρία-noun-0
ENG20-00983921-v	wngre:synset-βεβαιώνω-verb-0
ENG20-00983968-n	wngre:synset-αφοσίωση-noun-0
ENG20-00985423-v	wngre:synset-αξιώνω-verb-0
ENG20-00985438-n	wngre:synset-δαιμονολατρία-noun-0
ENG20-00985542-n	wngre:synset-πυρολατρία-noun-0
ENG20-00985628-n	wngre:synset-αγιολατρία-noun-0
ENG20-00985735-n	wngre:synset-ηλιολατρία-noun-0
ENG20-00985824-n	wngre:synset-ζωοθεϊσμός-noun-0
ENG20-00986705-n	wngre:synset-ανάκαμψη__αναζωογόνηση-noun-0
ENG20-00987058-v	wngre:synset-παρατηρώ-verb-0
ENG20-00987409-v	wngre:synset-καταγράφω-verb-0
ENG20-00987539-n	wngre:synset-ανάνηψη-noun-0
ENG20-00987987-v	wngre:synset-κρατώ_σημειώσεις-verb-0
ENG20-00988237-n	wngre:synset-απόκρυψη-noun-1
ENG20-00988591-n	wngre:synset-καμουφλάζ-noun-0
ENG20-00988646-v	wngre:synset-κανονίζω-verb-0
ENG20-00989010-n	wngre:synset-κάλυψη-noun-0
ENG20-00989952-n	wngre:synset-ενταφιασμός-noun-1
ENG20-00990257-v	wngre:synset-παραθέτω-verb-0
ENG20-00990572-v	wngre:synset-επικαλούμαι-verb-0
ENG20-00990656-n	wngre:synset-τοποθέτηση-noun-1
ENG20-00991188-v	wngre:synset-αναφέρομαι-verb-0
ENG20-00992244-v	wngre:synset-ανακινώ-verb-0
ENG20-00992783-v	wngre:synset-αναμοχλεύω-verb-0
ENG20-00992931-n	wngre:synset-διαμονή-noun-0
ENG20-00993234-n	wngre:synset-διαμονή-noun-0
ENG20-00993726-v	wngre:synset-υπαινίσσομαι-verb-0
ENG20-00994482-n	wngre:synset-παραμονή-noun-0
ENG20-00994486-v	wngre:synset-θεσπίζω-verb-0
ENG20-00995014-v	wngre:synset-βαφτίζω-verb-1
ENG20-00995064-a	wngre:synset-εξωτερικός-adjective-1
ENG20-00995421-n	wngre:synset-ενδιάμεση_στάση-noun-0
ENG20-00995511-v	wngre:synset-ονομάζω-verb-1
ENG20-00996210-n	wngre:synset-εφοδιασμός-noun-1
